ID	group
2_Y	1
7_Y	1
33_Y	1
55_Y	1
128_Y	1
129_Y	1
130_Y	1
135_Y	1
151_Y	1
154_Y	1
165_Y	1
175_Y	1
201_Y	1
222_Y	1
223_Y	1
245_Y	1
248_Y	1
263_Y	1
321_Y	1
324_Y	1
333_Y	1
378_Y	1
386_Y	1
88_B	1
171_B	1
191_B	1
37_Y	2
69_Y	2
80_Y	2
107_Y	2
115_Y	2
116_Y	2
119_Y	2
140_Y	2
141_Y	2
149_Y	2
178_Y	2
183_Y	2
196_Y	2
207_Y	2
214_Y	2
249_Y	2
269_Y	2
297_Y	2
332_Y	2
359_Y	2
374_Y	2
398_Y	2
1_B	2
21_B	2
47_B	2
302_Y	2
22_Y	2
49_Y	2
124_Y	1
6_Y	1
190_Y	1
133_Y	1
247_Y	1
347_Y	1
273_Y	1
